comparison	variable	value	chisq_pval
H3-3A vs TP53	Age (Two Groups)	(15,40]	0.16263
H3-3A vs TP53	Age (Two Groups)	[0,15]	0.0481
H3-3A vs TP53	Age (Three Groups)	(15,26]	0.65472
H3-3A vs TP53	Age (Three Groups)	(26,40]	0.53709
H3-3A vs TP53	Age (Three Groups)	[0,15]	0.0481
H3-3A vs TP53	Sex	Male	0.22152
H3-3A vs TP53	Sex	Female	0.0194
H3-3A vs TP53	Age (Two Groups) + Sex	(15,40]_Male	0.33355
H3-3A vs TP53	Age (Two Groups) + Sex	(15,40]_Female	0.6726
H3-3A vs TP53	Age (Two Groups) + Sex	[0,15]_Female	0.04783
H3-3A vs TP53	Age (Two Groups) + Sex	[0,15]_Male	0.65606
H3-3A vs TP53	Age (Three Groups) + Sex	(15,26]_Male	1
H3-3A vs TP53	Age (Three Groups) + Sex	(26,40]_Female	NA
H3-3A vs TP53	Age (Three Groups) + Sex	[0,15]_Female	0.04783
H3-3A vs TP53	Age (Three Groups) + Sex	[0,15]_Male	0.65606
H3-3A vs TP53	Age (Three Groups) + Sex	(15,26]_Female	1
H3-3A vs TP53	Age (Three Groups) + Sex	(26,40]_Male	0.69854
